game_date,game,pick,confidence,result
2026-05-28,Los Angeles Angels at Detroit Tigers,Detroit Tigers,56.2,Pending
2026-05-28,Minnesota Twins at Chicago White Sox,Chicago White Sox,51.8,Pending
2026-05-28,Atlanta Braves at Boston Red Sox,Boston Red Sox,56.2,Pending
2026-05-28,Toronto Blue Jays at Baltimore Orioles,Baltimore Orioles,60.4,Pending
2026-05-28,Chicago Cubs at Pittsburgh Pirates,Pittsburgh Pirates,54.6,Pending
2026-05-28,Houston Astros at Texas Rangers,Texas Rangers,58.4,Pending
2026-05-29,Atlanta Braves at Cincinnati Reds,Cincinnati Reds,59.0,Pending
2026-05-29,San Diego Padres at Washington Nationals,Washington Nationals,54.4,Pending
2026-05-29,Minnesota Twins at Pittsburgh Pirates,Pittsburgh Pirates,58.8,Pending
2026-05-29,Toronto Blue Jays at Baltimore Orioles,Toronto Blue Jays,52.8,Pending
2026-05-29,Boston Red Sox at Cleveland Guardians,Cleveland Guardians,54.4,Pending
2026-05-29,Los Angeles Angels at Tampa Bay Rays,Tampa Bay Rays,57.2,Pending
2026-05-29,Miami Marlins at New York Mets,New York Mets,57.8,Pending
2026-05-29,Chicago Cubs at St. Louis Cardinals,St. Louis Cardinals,55.2,Pending
2026-05-29,Detroit Tigers at Chicago White Sox,Chicago White Sox,55.2,Pending
2026-05-29,Kansas City Royals at Texas Rangers,Texas Rangers,54.8,Pending
2026-05-29,Milwaukee Brewers at Houston Astros,Houston Astros,56.8,Pending
2026-05-29,San Francisco Giants at Colorado Rockies,Colorado Rockies,54.4,Pending
2026-05-29,New York Yankees at Athletics,Athletics,56.8,Pending
2026-05-29,Arizona Diamondbacks at Seattle Mariners,Seattle Mariners,56.0,Pending
2026-05-29,Philadelphia Phillies at Los Angeles Dodgers,Los Angeles Dodgers,57.8,Pending
